CityName,CityID
lujiang,2602
rongshui,3047
jingxi,967
yizhang,2861
tongdao,992
qianwei,3118
yakeshi,887
zhuanghe,2148
yangxi,2933
linqu,2907
leye,968
ningcheng,1736
tengzhou,1371
zixing,1570
xuyi,2100
zhuolu,2585
kezileisu,2511
dongtai,916
hebi,595
baicheng,2490
lufeng,2952
ninglang,2169
huoshan,2609
rucheng,2852
gaizhou,1941
pingjiang,2848
tashenkuergan,2481
xiangtanxian,2858
zhouzhi,2781
zhangyang,2690
fengcheng,1839
yuzhou,2301
anlong,2333
anxi,2647
huaan,2677
lechang,957
dingxi,830
tianmen,987
panzhou,2369
shandan,120488
mengzi,1201
yongxiu,1848
sanhe,671
danyang,1038
weishan,2869
qiubei,2175
sanmen,1945
lanling,2873
nanan,1521
ganzixian,3156
zhucheng,2077
songyang,2250
menyuan,1446317
bazhou,1834
mangshi,2199
ningdou,2379
jiulong,1446247
gongga,120408
zhalantun,2972
xingguo,2387
binhai,3074
guide,2636
ziyuan,980
tachengdiqu,924
kaihua,1001
yunxiao,2669
xinxian,2322
zunhua,1181
xinfeng,1445183
qihe,2885
jintang,3131
liannan,2941
langao,2752
ritu,120147
shanghang,1158
huaying,3103
yongan,288
laizhou,1161
xianyou,2654
miyi,3097
baiyin,828
yudou,2419
neixiang,2295
lantian,2755
hegang,811
suifenhe,855
jingjiang,1554
qinglong,2540
xinan,2315
eryuan,2180
macheng,1833
donggang,1764
zhashui,2766
xinhua,2856
xiwuqi,2960
hekou,2201
zhuozhou,848
sihui,960
shenfang,3154
shimen,143838
gaer,120143
xinning,2857
yongcheng,1578
pizhou,1560
longjing,2465
jingshan,2703
longshan,2842
yangshan,1142
shuangyashan,854
shitai,2624
dingzhou,2562
alashanzuoqi,143886
xinmi,1163
xuwen,2923
wenquanxian,1446386
gaoyou,2075
jingan,2396
chicheng,2544
shouxian,2628
shuyang,3079
pingdu,1565
jianyang,3122
ningguo,1167
yongji,1446019
qiongjie,2439
rudong,997
ledong,981
shouguang,1089
ningqiang,2731
yingcheng,1145
longyou,812
xinyi,2922
ezhou,858
huize,2212
huzhu,2637
tieli,2230
shanglin,120117
yanling,2860
mangkang,2452
jiange,3115
lingbao,1162
zigui,2726
ningwu,3030
rongxian,3144
guazhou,2807
hongya,3096
baihe,2733
saga,120381
gaoan,1165
weining,2337
zuogong,120405
tongcheng,2704
shenmu,2762
yushan,1013
balikun,2494
guiping,418
guan,2586
fengyang,2626
taixing,1172
yanchang,1446146
laiyang,1838
yongchun,2661
pingwu,3134
xiaoyi,1144
wulumuqixian,2489
daye,1543
lindian,2219
songxian,1445115
changjiang,2456
hunyuan,3026
nanbuxian,3104
zhenning,2356
zhaoyuan,1445995
gaomi,1837
anfu,2376
haian,1548
tengxian,143827
xiaojin,3110
menghai,2207
